id,species,observed_on,place,user
276537066,Blue Corporal,2025-04-28,"Stockton University, Galloway, NJ, US",melissalaurino
276537756,,2025-04-28,"Stockton University, Galloway, NJ, US",melissalaurino
273125275,,2025-04-24,"Stockton University, Galloway, NJ, US",melissalaurino
272748635,,2025-04-24,"Stockton University, Galloway, NJ, US",melissalaurino
272749470,Bent-lined Carpet,2025-04-23,"Dune Rd, Villas, NJ, US",melissalaurino
272748739,eastern poison ivy,2025-04-22,"Cape Island, Cape May, NJ, US",melissalaurino
272749379,Spotted Pink Lady Beetle,2025-04-22,"Delaware Bay, NJ, US",melissalaurino
271964259,,2025-04-21,"Stockton University, Galloway, NJ, US",melissalaurino
269620805,Pine Warbler,2025-04-10,"Stockton University, Galloway, NJ, US",melissalaurino
269643623,,2025-04-10,"Stockton University, Galloway, NJ, US",melissalaurino
